Id,Label,timeset,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,componentnumber,eigencentrality,clustering,triangles
178948,178948,,485,4309393,2,0.904841,0.947417,24.5366,0.04704,0.04704,21,0,0.975895,0.933365,109549
166401,166401,,19,95,3,0.500462,0.511993,1.077184,0.000811,0.000811,18,0,0.017095,0.923977,158
204460,204460,,436,3020430,2,0.83642,0.902214,10.215534,0.042859,0.042859,22,0,0.888945,0.96634,91638
160599,160599,,488,4277499,2,0.909396,0.950185,26.144354,0.047256,0.047256,21,0,0.98038,0.930269,110542
204553,204553,,482,962826,2,0.900332,0.944649,47.077949,0.046,0.046,3,0,0.954529,0.904331,104831
178861,178861,,463,2478805,2,0.872786,0.927122,27.619343,0.044869,0.044869,21,0,0.930851,0.934261,99922
139285,139285,,434,3010453,3,0.832565,0.900062,27.152606,0.041983,0.041983,3,0,0.871115,0.933717,87733
74585,74585,,476,3774164,2,0.891447,0.939114,32.847163,0.04594,0.04594,21,0,0.953137,0.925263,104601
204463,204463,,491,3669281,2,0.913997,0.952952,38.810397,0.04713,0.04713,21,0,0.9779,0.914319,109988
152605,152605,,424,2241437,2,0.821212,0.891144,32.822951,0.040663,0.040663,3,0,0.843931,0.924841,82936
74784,74784,,130,1063,3,0.555897,0.613469,2.291831,0.011357,0.011357,3,0,0.236115,0.965414,8095
73761,73761,,0,0,0,0,0,0,0,0,0,1,0,0,0
115746,115746,,500,3715226,2,0.928082,0.961255,52.242541,0.047648,0.047648,21,0,0.98873,0.90117,112421
205863,205863,,441,3185917,2,0.842924,0.906827,10.412133,0.043351,0.043351,22,0,0.899142,0.965523,93675
205865,205865,,396,1043892,2,0.787791,0.865314,5.625565,0.039056,0.039056,22,0,0.810014,0.978046,76493
204554,204554,,503,6556993,2,0.932874,0.964022,45.36603,0.048053,0.048053,21,0,0.997084,0.905285,114295
73772,73772,,425,1749605,2,0.822458,0.892066,7.091412,0.041911,0.041911,22,0,0.869231,0.974428,87796
204466,204466,,473,2750380,2,0.88707,0.936347,31.798934,0.045684,0.045684,3,0,0.947815,0.926864,103464
160534,160534,,492,5774530,2,0.915541,0.953875,28.38534,0.047545,0.047545,21,0,0.986397,0.926308,111885
74419,74419,,67,223,3,0.521655,0.555043,0.005848,0.005829,0.005829,3,0,0.121213,0.999548,2210
73788,73788,,208,249,2,0.618721,0.691882,1093.510527,0.019061,0.019061,3,0,0.395857,0.879506,18934
141373,141373,,0,0,0,0,0,0,0,0,1,2,0,0,0
141374,141374,,0,0,0,0,0,0,0,0,2,3,0,0,0
73483,73483,,19,80,3,0.500462,0.511993,1.077184,0.000811,0.000811,18,0,0.017095,0.923977,158
73801,73801,,444,2142505,2,0.846875,0.909594,37.696926,0.042564,0.042564,3,0,0.883332,0.919946,90473
76874,76874,,426,2071634,2,0.823708,0.892989,47.517381,0.040687,0.040687,3,0,0.844456,0.917514,83058
178871,178871,,463,1826501,2,0.872786,0.927122,27.698189,0.04487,0.04487,3,0,0.930898,0.933055,99793
160610,160610,,420,2047983,2,0.816265,0.887454,38.280428,0.040218,0.040218,3,0,0.83471,0.922923,81208
141391,141391,,437,3682484,2,0.837713,0.903137,8.357091,0.043069,0.043069,21,0,0.89327,0.970336,92440
73808,73808,,426,3060204,3,0.822458,0.892681,8.058402,0.042046,0.042046,22,0,0.872092,0.970395,87845
178872,178872,,5,14,3,0.486099,0.493542,0,0.000211,0.000211,22,0,0.004455,1,10
141398,141398,,424,2235189,2,0.821212,0.891144,39.188904,0.040592,0.040592,3,0,0.842468,0.921852,82668
178873,178873,,378,2109525,3,0.76662,0.848401,30.822081,0.036312,0.036312,3,0,0.753632,0.937013,66765
90201,90201,,474,1712499,2,0.888525,0.937269,31.26645,0.04581,0.04581,3,0,0.950418,0.927913,104020
121948,121948,,486,6141838,2,0.906355,0.948339,26.262217,0.047093,0.047093,21,0,0.976987,0.931526,109785
141405,141405,,467,3192226,2,0.878444,0.930812,1761.77413,0.044187,0.044187,21,0,0.916927,0.892851,97152
122974,122974,,488,4439744,2,0.909396,0.950185,27.039034,0.047222,0.047222,3,0,0.979684,0.928922,110382
141408,141408,,445,2911089,2,0.8482,0.910517,11.910112,0.043678,0.043678,22,0,0.905941,0.962172,95053
178931,178931,,503,4272031,2,0.932874,0.964022,60.976507,0.047776,0.047776,3,0,0.991441,0.895559,113067
141411,141411,,477,4435936,3,0.891447,0.939729,31.700889,0.046064,0.046064,3,0,0.955751,0.926316,105161
141417,141417,,487,4305704,2,0.907873,0.949262,34.863687,0.046903,0.046903,21,0,0.97317,0.920746,108962
141421,141421,,466,2613659,2,0.877023,0.929889,19.873,0.045383,0.045383,3,0,0.941477,0.941622,102020
141422,141422,,454,4403355,2,0.860317,0.918819,15.328173,0.044422,0.044422,22,0,0.921435,0.953652,98065
204454,204454,,449,5256318,2,0.853543,0.914207,13.12298,0.044017,0.044017,21,0,0.91299,0.959106,96463
68720,68720,,483,3767197,3,0.900332,0.945264,51.659071,0.04623,0.04623,3,0,0.959312,0.910818,106022
141427,141427,,489,5515975,2,0.910924,0.951107,27.917403,0.047299,0.047299,21,0,0.981287,0.928065,110733
141428,141428,,413,1073550,3,0.806548,0.880689,6.032226,0.04089,0.04089,22,0,0.848073,0.97621,83054
141429,141429,,0,0,0,0,0,0,0,0,4,4,0,0,0
